#tk0,#tk1,#tk2,#tk3,#tk4,#tk5,#tk6,#tk7,cpu_usage
0,0,0,0,0,0,0,1,55.36046512
0,0,0,0,1,1,0,0,98.51759259
0,0,0,3,0,0,0,0,97.96875
1,0,0,0,0,2,0,1,99.26883117
1,1,0,0,0,1,2,0,99.32541436
1,0,0,1,0,1,1,2,99.88525641
2,1,1,0,0,0,1,2,98.15666667
0,1,0,1,3,1,2,0,99.85722892
0,1,0,1,2,0,3,2,99.8342029
1,2,0,1,0,3,1,2,99.79875776
0,0,0,0,0,0,0,1,60.04651163
1,0,0,0,0,1,0,0,69.3453125
1,0,0,0,1,0,1,0,98.73125
0,0,1,0,0,1,2,0,99.24972067
0,0,1,0,0,1,0,3,97.13888889
0,0,1,3,2,0,0,0,99.22241379
1,1,1,1,0,2,0,1,99.62135417
0,2,0,0,1,1,2,2,99.66454849
0,2,1,4,0,0,2,0,99.93070175
1,1,1,3,0,1,3,0,99.46975089
0,0,1,0,0,0,0,0,79.47083333
0,1,0,0,0,1,0,0,83.816
1,1,0,1,0,0,0,0,94.65128205
0,0,1,2,1,0,0,0,83.85052632
1,2,0,1,1,0,0,0,86.93362832
2,0,0,1,1,2,0,0,99.56284153
0,1,1,1,1,1,2,0,99.6077821
1,1,1,0,1,0,1,3,99.4037037
3,2,1,0,0,0,1,2,97.69550562
0,3,2,0,3,0,1,1,99.60560472
0,0,1,0,0,0,0,0,81.2875
0,0,1,0,0,0,1,0,82.3875
0,0,0,0,1,0,1,1,99.20735294
1,1,0,1,0,1,0,0,85.44086022
0,0,0,2,0,2,1,0,99.29833333
0,3,0,1,0,0,2,0,99.21787709
0,0,2,0,2,2,0,1,99.39961686
1,0,2,1,0,1,3,0,99.61515152
1,0,2,1,0,1,2,2,99.54022989
1,1,1,1,0,3,2,1,99.83231707
0,0,0,0,0,1,0,0,62.92622951
0,0,0,0,1,1,0,0,98.53027523
0,0,0,0,0,1,2,0,99.24968553
0,0,0,1,1,1,0,1,99.08794326
1,0,1,1,0,1,1,0,98.96298701
1,0,0,0,0,0,0,5,99.15289855
1,2,1,1,1,1,0,0,99.66142132
2,1,0,1,1,0,2,1,99.70546218
1,1,2,1,2,0,1,1,99.76007752
1,2,2,1,0,3,1,0,99.84707792
0,0,0,1,0,0,0,0,71.84285714
0,0,1,0,0,0,0,1,84.00925926
1,0,0,1,0,0,0,1,74.05
0,0,0,2,1,1,0,0,98.53571429
0,0,1,0,0,1,0,3,97.42183099
0,4,0,1,0,0,0,1,90.87593985
1,1,1,1,2,1,0,0,99.62735849
1,2,1,2,0,2,0,0,99.55555556
2,0,0,2,1,0,1,3,99.80321101
2,0,1,2,2,0,1,2,99.43372093
0,0,0,0,0,0,1,0,62.59032258
0,2,0,0,0,0,0,0,97.81428571
0,0,1,1,0,0,1,0,85.31341463
0,0,1,0,0,1,0,2,96.94741379
2,2,0,0,0,1,0,0,85.7
1,1,0,0,1,1,2,0,99.49771689
1,0,4,0,0,1,1,0,99.29190476
1,1,3,0,2,1,0,0,99.69322034
1,2,0,2,1,1,1,1,99.77052239
0,2,1,1,1,0,3,2,99.71061093
0,0,0,0,0,1,0,0,64.9852459
0,0,1,0,0,1,0,0,82.27972973
1,0,1,0,0,1,0,0,81.60875
0,1,0,0,0,2,1,0,99.36057143
2,0,1,0,0,2,0,0,99.87741935
1,1,1,0,2,1,0,0,99.64536585
0,1,2,0,0,0,2,2,99.44910714
0,3,2,0,1,1,1,0,99.49019608
1,0,3,0,0,2,2,1,99.80328947
1,0,2,2,3,1,0,1,99.65402685
0,0,0,0,0,0,1,0,63.3295082
0,0,2,0,0,0,0,0,96.5525
1,1,0,0,0,1,0,0,84.64125
0,1,0,1,1,0,0,1,95.86
0,1,0,1,1,0,0,2,98.31666667
0,1,0,1,2,1,0,1,99.16713615
1,0,0,1,2,1,1,1,99.6597561
0,1,0,2,1,2,1,1,99.68339623
2,2,0,2,1,1,0,1,99.48859649
3,1,2,1,0,0,1,2,98.14545455
1,0,0,0,0,0,0,0,50.36363636
0,0,0,1,0,0,0,1,70.76122449
0,0,2,1,0,0,0,0,98.752
0,0,0,0,1,1,0,2,99.26358382
2,0,0,2,0,1,0,0,80.02333333
1,1,1,0,1,0,1,1,99.27020202
1,0,1,3,0,1,0,1,96.56953125
2,1,1,1,0,0,2,1,99.89855769
1,1,1,1,2,1,2,0,99.72587859
